,Xc1,Yc1,Xc2,Yc2,Xc3,Yc3,Xc4,Yc4,Xc5,Yc5,Xc6,Yc6,Xc7,Yc7,Xc8,Yc8,Xc9,Yc9,Xc10,Yc10,Xc11,Yc11,Xc12,Yc12,Xc13,Yc13,Xc14,Yc14,Xc15,Yc15,Xc16,Yc16,label
0,0,0,0,0,5,5,4,0,0,0,5,5,2,2,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,5,4,5,1,0,0,4,5,2,2,2,4,4,0,1,5,3,1,4,4,2,0,0,0,0,4,0,2,0,0,0
2,0,0,5,5,5,0,0,0,0,0,2,5,3,0,0,0,0,0,3,5,3,0,0,0,0,0,0,5,0,0,0,0,1
3,5,6,5,0,5,3,0,0,0,0,2,0,3,4,0,0,0,0,3,3,3,4,4,0,0,0,0,0,1,5,1,0,4
4,0,0,5,4,5,1,0,0,4,5,2,2,2,3,4,0,2,5,3,1,4,4,2,1,0,6,0,3,0,2,0,0,0
5,0,0,5,5,5,2,0,0,0,0,2,2,3,4,0,0,0,0,3,1,3,2,0,0,0,0,0,3,0,0,0,0,0
6,0,0,0,0,0,0,0,0,3,5,1,2,2,2,0,0,0,6,4,5,2,1,0,0,0,0,3,5,1,0,0,0,7
7,0,0,6,4,6,1,0,0,1,6,2,2,2,2,1,0,4,4,0,4,2,3,5,0,0,5,2,2,2,3,0,0,3
8,0,0,5,5,5,3,5,0,0,0,3,3,3,2,0,1,0,0,0,3,2,3,0,0,0,0,2,4,0,0,0,0,5
9,5,6,5,3,5,1,0,0,0,0,4,4,3,2,5,0,5,5,5,3,3,3,1,0,0,5,0,2,0,0,0,0,3
10,0,0,6,5,6,3,6,0,0,0,3,3,2,3,2,0,6,6,2,3,2,1,0,0,1,5,2,2,1,1,0,0,8
11,0,0,0,0,6,3,0,0,0,0,3,3,2,3,1,0,0,0,2,4,1,1,0,0,0,0,2,3,2,0,0,0,9
12,0,0,0,0,5,0,0,0,0,0,3,5,2,0,0,0,0,0,2,5,2,0,0,0,0,0,1,5,1,0,0,0,1
13,5,5,5,0,0,0,0,0,0,4,2,3,2,1,0,0,0,0,4,3,2,3,4,0,0,0,1,4,1,2,0,0,3
14,6,6,5,3,5,1,0,0,1,6,2,1,3,3,5,0,6,5,0,4,3,3,1,0,0,5,1,3,0,1,0,0,3
15,0,0,0,0,5,3,0,0,0,0,0,0,3,1,0,0,0,0,4,5,2,0,0,0,0,0,1,5,0,0,0,0,1
16,0,0,5,3,5,1,0,0,0,0,1,3,2,1,0,0,0,0,3,4,3,1,5,0,0,0,1,4,1,2,0,0,2
17,0,0,0,0,5,3,6,0,0,0,3,4,2,3,2,0,4,5,2,1,3,3,1,0,0,5,0,2,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,1,3,2,2,0,0,0,0,5,5,2,0,0,0,0,0,2,4,0,0,0,0,7
19,0,0,5,3,5,2,5,0,4,6,3,2,4,2,4,0,0,6,2,3,2,3,2,0,0,0,0,5,0,2,0,0,5
20,0,0,5,4,5,2,6,0,0,0,3,4,2,3,0,0,0,0,3,3,2,1,0,0,0,0,1,2,0,0,0,0,8
21,0,0,0,0,5,4,2,0,0,0,4,3,3,2,5,0,3,5,3,3,2,2,0,0,0,0,0,3,0,0,0,0,6
